property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,independent,manesar,0.8,6667,1200,Plot area 1200(111.48 sq.m.),8,8,2,1,,Relatively New,,1200,,0,0,0,0,0,0,0,150
house,independent,sector 51,2.25,25000,900,Plot area 100(83.61 sq.m.),6,3,3+,3,North-West,Relatively New,,900,,0,0,0,0,0,0,54,150
house,palam vihar extension west zone rwa,sector 2,0.4,4444,900,Plot area 900(83.61 sq.m.),6,4,2,2,West,Moderately Old,,900,,0,0,0,0,0,0,36,150
house,independent,sector 4,0.92,15257,603,Plot area 67(56.02 sq.m.),4,4,3,4,East,Moderately Old,,603,,0,0,0,0,1,0,0,150.75
house,independent,sector 3,0.92,15257,603,Built Up area: 603 (56.02 sq.m.),4,1,0,1,,Undefined,,603,,0,0,0,0,0,0,0,150.75
house,independent,sector 13,0.9,11465,785,Plot area 785(72.93 sq.m.),5,4,3,3,North-West,Moderately Old,,785,,1,1,0,1,1,0,0,157
house,row house,sector 105,0.43,9130,471,Plot area 52(43.48 sq.m.)Built Up area: 1050 sq.yards (877.93 sq.m.),3,3,3,2,,Relatively New,,1050,,0,0,0,0,0,0,0,157
house,sai kripa floors 5,sector 11,0.9,11250,800,Plot area 800(74.32 sq.m.),5,5,3,3,,Relatively New,,800,,0,0,0,0,0,0,0,160
house,independent,sector 41,4.25,26235,1620,Plot area 180(150.5 sq.m.),10,9,3+,4,North,Moderately Old,,1620,,1,1,0,0,0,1,36,162
house,independent,sector 4,1.1,11111,990,Built Up area: 990 (91.97 sq.m.),6,4,1,2,North,Undefined,,990,,0,0,0,0,0,0,0,165
house,sector 38 rwa,sector 38,4.3,28782,1494,Plot area 166(138.8 sq.m.)Built Up area: 165 sq.yards (137.96 sq.m.)Carpet area: 164 sq.yards (137.12 sq.m.),9,9,3+,3,East,Relatively New,,165,164,0,0,0,1,1,1,41,166
house,independent,sector 12,0.65,6500,1000,Carpet area: 1000 (92.9 sq.m.),6,2,3,1,,Undefined,,,1000,0,0,0,0,0,0,0,166.6666667
house,shri shyam residency,sector 104,0.62,12400,500,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,1,2,,Moderately Old,,900,480,0,0,0,0,1,2,8,166.6666667
house,independent,sector 104,0.6,5128,1170,Plot area 130(108.7 sq.m.),7,3,1,2,North,Moderately Old,,1170,,0,0,0,0,0,0,0,167.1428571
house,independent,sector 12,0.9,13333,675,Built Up area: 675 (62.71 sq.m.),4,4,0,2,,Undefined,,675,,0,0,0,0,0,0,0,168.75
house,bhawani enclave,sector 12,0.42,8235,510,Plot area 565(52.49 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.),3,3,0,2,East,New Property,,,510,0,0,0,1,0,0,0,170
house,independent,sector 2,3.65,23443,1557,Plot area 173(144.65 sq.m.),9,9,3+,3,West,New Property,,1557,,0,1,0,1,0,1,116,173
house,independent,sector 21,0.45,8411,535,Carpet area: 535 (49.7 sq.m.),3,2,1,1,,Undefined,,,535,0,0,0,0,0,0,0,178.3333333
house,independent,sector 9,0.35,9722,360,Plot area 40(33.45 sq.m.),2,2,1,2,South-East,Old Property,,360,,0,0,0,0,0,0,0,180
house,independent,sector 43,1.9,35185,540,Plot area 60(50.17 sq.m.)Built Up area: 60 sq.yards (50.17 sq.m.),3,3,3+,3,,Old Property,,60,,0,0,0,0,0,2,0,180
house,independent,sector 24,1.45,26852,540,Plot area 60(50.17 sq.m.),3,3,1,,,Old Property,,540,,0,0,0,0,0,0,9,180
house,independent,sector 3 phase 2,0.85,9444,900,Carpet area: 900 (83.61 sq.m.),5,3,3,1,,Undefined,,,900,0,0,0,0,0,0,0,180
house,jacob pura,sector 12,0.35,9722,360,Built Up area: 360 (33.45 sq.m.),2,1,0,,,Old Property,,360,,0,0,0,0,0,0,0,180
house,sector 57 huda,sector 57,3.8,26063,1458,Plot area 162(135.45 sq.m.)Built Up area: 162 sq.yards (135.45 sq.m.)Carpet area: 160 sq.yards (133.78 sq.m.),8,8,3+,4,East,Relatively New,,162,160,0,0,1,1,0,1,94,182.25
house,independent,sector 8,0.62,11273,550,Built Up area: 550 (51.1 sq.m.),3,1,0,2,,Undefined,,550,,0,0,0,0,0,0,0,183.3333333
house,independent,sector 7,0.66,12000,550,Plot area 550(51.1 sq.m.),3,1,1,3,East,Relatively New,,550,,0,0,0,0,1,0,22,183.3333333
house,independent,sector 9,0.6,10753,558,Plot area 62(51.84 sq.m.),3,3,1,2,,Relatively New,,558,,0,0,0,0,0,0,0,186
flat,czar mahira homes 63a,sector 63a,0.42,7407,567,Carpet area: 567 (52.68 sq.m.),3,2,2,1,,Undefined,,,567,0,0,0,0,0,0,0,189
house,rattan garden,sector 7,1.3,13499,963,Built Up area: 963 (89.47 sq.m.),5,3,2,3,,Old Property,,963,,0,0,0,0,0,0,0,192.6
house,independent,sector 3,0.8,8155,981,Plot area 109(91.14 sq.m.),5,4,1,2,,Moderately Old,,981,,0,0,0,0,0,0,0,196.2
house,independent,sector 105,1.2,10118,1186,Plot area 1185.51(110.14 sq.m.),6,2,1,2,North-West,Old Property,,1185.51,,0,0,0,0,0,0,9,197.6666667
house,independent,sector 7,1.16,11717,990,Carpet area: 110 (91.97 sq.m.),5,4,2,1,North-East,Undefined,,,110,0,0,0,0,0,0,0,198
house,independent,sector 2,1.15,19360,594,Plot area 66(55.18 sq.m.),3,3,2,2,South-East,Old Property,,594,,0,0,0,0,0,1,32,198
house,independent,sector 7,1.16,11694,992,Plot area 992(92.16 sq.m.)Carpet area: 992 sq.ft. (92.16 sq.m.),5,4,2,3,North-East,Moderately Old,,,992,0,0,0,0,1,0,39,198.4
flat,breez global heights 88a,sector 88a,0.5,8375,597,Carpet area: 597 (55.46 sq.m.),3,2,2,2,,Undefined,,,597,0,0,0,0,0,0,15,199
house,independent,sector 70a,2.1,35000,600,Carpet area: 600 (55.74 sq.m.),3,2,1,3,,New Property,,,600,0,0,0,0,0,0,0,200
house,madan puri,sector 7,0.75,12500,600,Plot area 600(55.74 sq.m.),3,5,3,3,South-East,Moderately Old,,600,,0,0,0,0,0,0,0,200
house,huda floor,sector 38,4,22222,1800,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9,9,3+,2,East,Relatively New,,4800,3800,0,0,1,1,0,1,152,200
house,independent,sector 12,2.5,13889,1800,Plot area 1800(167.23 sq.m.),9,5,2,1,South-East,Old Property,,1800,,0,0,0,1,0,0,8,200
house,independent,sector 6,0.5,8333,600,Plot area 600(55.74 sq.m.),3,3,2,2,East,Moderately Old,,600,,0,0,0,1,0,0,0,200
house,independent,sector 8,0.82,10224,802,Carpet area: 802 (74.51 sq.m.),4,4,0,2,,Undefined,,,802,0,0,0,0,0,0,0,200.5
house,independent,sector 11,2.1,17284,1215,Plot area 135(112.88 sq.m.),6,6,3+,3,,Relatively New,,1215,,0,0,0,0,0,0,14,202.5
house,independent,sector 45,4.49,24455,1836,Plot area 204(170.57 sq.m.),9,9,3+,3,North-West,Moderately Old,,1836,,0,0,0,0,1,1,90,204
house,independent,sector 6,0.66,10784,612,Plot area 612(56.86 sq.m.),3,2,1,2,,Old Property,,612,,0,0,0,0,0,0,36,204
house,independent,sector 12,1.2,14184,846,Plot area 846(78.6 sq.m.)Built Up area: 846 sq.ft. (78.6 sq.m.),4,4,2,2,North,Relatively New,,846,,0,0,0,1,0,1,7,211.5
flat,gls avenue 51,sector 92,0.5,7812,640,Super Built up area 640(59.46 sq.m.),3,3,1,0,,Relatively New,640,,,0,0,0,0,0,0,0,213.3333333
flat,gls avenue 51,sector 92,0.42,6562,640,Carpet area: 640 (59.46 sq.m.),3,3,1,2,,Relatively New,,,640,0,0,0,0,0,0,20,213.3333333
flat,gls avenue 51,sector 92,0.5,7812,640,Carpet area: 640 (59.46 sq.m.),3,3,1,12,,New Property,,,640,0,0,0,0,0,2,95,213.3333333
flat,gls avenue 51,sector 92,0.39,6075,642,Carpet area: 641.74 (59.62 sq.m.),3,3,3+,6,North,Relatively New,,,641.743718,0,0,0,0,0,0,104,214
house,independent,sector 7,1.2,11194,1072,Built Up area: 1072 (99.59 sq.m.),5,4,2,3,,Undefined,,1072,,0,0,0,0,0,0,0,214.4
flat,rof ananda,sector 95,0.37,5745,644,Carpet area: 644.12 (59.84 sq.m.),3,2,1,6,South-East,Relatively New,,,644.111776,0,0,0,1,0,1,72,214.6666667
