property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,pivotal devaan,sector 84,0.35,7277,481,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2,2,1,10,West,Relatively New,583,,481,0,0,1,0,0,0,103,240.5
flat,gls arawali homes,sohna road,0.3,6237,481,Super Built up area 567(52.68 sq.m.)Carpet area: 480.53 sq.ft. (44.64 sq.m.),2,2,2,4,East,Relatively New,567,,480.53,0,0,0,0,0,2,120,240.5
flat,gls arawali homes,sohna road,0.29,6029,481,Carpet area: 480.53 (44.64 sq.m.),2,2,2,9,East,Relatively New,,,480.500496,0,0,0,0,0,0,55,240.5
flat,mvn athens,sohna road,0.25,5187,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,3,East,Relatively New,,,481.684525,0,0,0,0,0,0,51,241
flat,tulip lemon,sector 69,0.62,12863,482,Carpet area: 482 (44.78 sq.m.),2,2,1,4,North-East,Relatively New,,,482,0,0,0,0,0,1,108,241
flat,mvn athens,sohna road,0.26,5394,482,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2,,Relatively New,,,481.792164,0,0,0,0,0,0,37,241
flat,mvn athens,sohna road,0.26,5394,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,5,,Relatively New,,,481.684525,0,0,0,0,0,0,95,241
flat,conscient habitat,sector 99a,0.27,5602,482,Carpet area: 484 (44.97 sq.m.),2,2,1,8,South-West,Relatively New,,,484,0,0,0,0,1,0,49,241
flat,mvn athens,sohna road,0.25,5187,482,Carpet area: 481.73 (44.75 sq.m.),2,2,1,0,North,Relatively New,,,481.684525,0,0,0,1,0,0,90,241
flat,pivotal devaan,sector 84,0.34,7039,483,Carpet area: 483 (44.87 sq.m.),2,2,1,1,East,Relatively New,,,483,0,0,1,0,0,1,84,241.5
flat,pivotal devaan,sector 84,0.35,7246,483,Carpet area: 483 (44.87 sq.m.),2,2,2,4,East,Relatively New,,,483,0,0,0,0,0,0,37,241.5
house,iffco nagar and 17b rwa,sector 17,2.98,20566,1449,Plot area 161(134.62 sq.m.),6,6,3+,3,East,Relatively New,,1449,,1,0,0,1,0,0,78,241.5
house,huda housing board colony,sector 31,4.6,31507,1460,Plot area 1460(135.64 sq.m.),6,4,3+,3,East,Old Property,,1460,,0,0,0,0,1,0,8,243.3333333
flat,signature global solera,sector 107,0.28,5726,489,Carpet area: 489 (45.43 sq.m.),2,2,2,6,West,Relatively New,,,489,0,0,0,0,0,0,45,244.5
flat,signature global solera,sector 107,0.27,5521,489,Carpet area: 489 (45.43 sq.m.),2,2,2,0,North-East,Relatively New,,,489,0,0,0,0,0,0,45,244.5
flat,signature global solera,sector 107,0.3,6135,489,Super Built up area 602(55.93 sq.m.)Carpet area: 489 sq.ft. (45.43 sq.m.),2,2,1,5,East,Relatively New,602,,489,0,0,0,0,0,0,57,244.5
house,independent,sector 47,4.3,29312,1467,Plot area 163(136.29 sq.m.),6,4,2,2,,Moderately Old,,1467,,0,0,0,0,1,0,0,244.5
house,uppal southend,sector 49,3.75,25562,1467,Plot area 163(136.29 sq.m.),6,6,3,3,East,Moderately Old,,1467,,0,0,0,0,1,0,49,244.5
flat,signature global solera,sector 107,0.28,5726,489,Carpet area: 489 (45.43 sq.m.),2,2,2,10,South,Relatively New,,,489,0,0,0,0,0,0,38,244.5
house,uppal southend,sector 49,3.75,25562,1467,Built Up area: 163 (136.29 sq.m.),6,6,3+,3,East,Moderately Old,,163,,1,0,0,0,0,1,26,244.5
flat,signature global solera,sector 107,0.29,5930,489,Carpet area: 489 (45.43 sq.m.),2,2,2,3,East,Relatively New,,,489,0,0,0,0,0,0,45,244.5
house,dlf city plots,sector 26,4,40775,981,Plot area 109(91.14 sq.m.),4,3,2,2,,Relatively New,,981,,0,0,0,0,0,1,0,245.25
flat,signature global solera,sector 107,0.28,5680,493,Carpet area: 489 (45.43 sq.m.),2,2,2,11,North,Relatively New,,,489,0,0,0,0,0,0,29,246.5
flat,signature global solera,sector 107,0.28,5680,493,Carpet area: 489 (45.43 sq.m.),2,2,2,6,West,Relatively New,,,489,0,0,0,0,0,0,45,246.5
house,independent,sector 47,4.6,26620,1728,Plot area 192(160.54 sq.m.),7,6,3+,4,,Moderately Old,,1728,,0,0,0,0,0,2,51,246.8571429
flat,pyramid urban homes 2,sector 86,0.41,8283,495,Carpet area: 501 (46.54 sq.m.),2,2,1,7,West,New Property,,,501,1,1,0,1,1,0,49,247.5
flat,pyramid urban homes 2,sector 86,0.42,8485,495,Carpet area: 501 (46.54 sq.m.),2,2,1,2,North-East,New Property,,,501,1,1,0,1,1,0,84,247.5
flat,zara aavaas,sector 104,0.49,6577,745,Super Built up area 745(69.21 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3,2,2,7,,Under Construction,745,,645,0,0,0,0,0,0,74,248.3333333
flat,prime habitat,sector 99a,0.27,5433,497,Carpet area: 497 (46.17 sq.m.),2,2,1,4,North-East,New Property,,,497,0,0,0,0,0,0,7,248.5
flat,signature global solera,sector 107,0.28,5622,498,Carpet area: 489 (45.43 sq.m.),2,2,2,14,North-West,Relatively New,,,489,0,0,0,0,0,0,38,249
